Group 1,Group 2,Label,Mean 1,Mean 2,Mean Difference,95% CI Lower,95% CI Upper,P-Value,N1,N2
Male,Female,Gender,-0.16745528157511805,-0.2925782323666497,0.12512295079153166,0.12086873190390562,0.1293771696791577,0.0,202042,170997
True,False,Verified,-0.14292616562194052,-0.24010003258967957,0.09717386696773905,0.0922510843734014,0.1020966495620767,0.0,78649,733361
Organizational,Individual,Account_Type,-0.013923352633030052,-0.2424435849340931,0.22852023230106305,0.22208737647404728,0.23495308812807883,0.0,43524,816227
