Region,Region,mean,std,count
0,Midwest,-0.19946153405510683,0.681591241968788,17457
1,Northeast,-0.15462105013067237,0.6637289766736266,42090
2,Southeast,-0.18935729094678647,0.6902022355043391,24599
3,Southwest,-0.1850995234090272,0.6975586581027651,14268
4,West,-0.16377822274390666,0.664064560431665,28966
5,out of usa,-0.1689933098035084,0.6822077267049097,246779
